Hours Studied,Attendance,Sleep Hours,Tutoring Sessions,Physical Activity,Exam Score,Extracurricular Activities_Yes,Internet Access_Yes,School Type_Public,Parental Involvement,Resource Access,Motivation Level,Family Income,Teacher Quality,Parental Education Level
16,74,9,0,4,65,False,True,True,2,0,2,2,1,2
12,79,6,1,4,62,False,True,False,0,2,1,0,2,1
30,73,7,0,2,67,False,True,True,0,1,1,0,2,2
26,64,6,1,5,64,False,True,False,0,2,0,0,1,0
16,66,6,2,3,61,False,True,True,1,0,0,1,2,1
34,61,9,1,2,65,False,True,True,0,1,1,0,1,1
26,79,7,1,5,67,False,True,True,2,0,1,2,1,0
18,98,7,0,4,70,False,True,True,2,0,1,1,1,2
5,65,7,1,3,59,True,True,False,1,2,0,0,0,0
34,98,7,1,4,75,False,True,False,1,2,1,0,1,1
12,89,7,4,2,67,True,True,True,0,1,1,0,2,1
10,85,6,1,3,64,True,True,True,1,1,0,1,1,1
26,86,9,3,3,72,True,True,True,1,2,1,2,1,0
35,93,6,5,2,76,True,True,True,1,1,1,1,1,1
28,64,6,2,2,69,True,True,False,1,2,0,1,1,2
23,80,7,0,5,65,False,True,True,0,1,0,0,2,0
24,88,10,2,1,72,False,True,True,2,1,0,2,2,2
25,83,6,0,4,69,True,True,True,1,2,0,0,0,0
25,93,8,0,4,71,False,True,False,2,1,1,2,1,0
22,63,7,0,2,64,False,True,False,2,1,2,1,1,0
21,88,7,2,3,74,True,True,True,2,2,2,1,1,2
20,81,8,0,3,68,True,True,True,1,2,1,1,1,1
15,75,4,1,4,66,True,True,False,1,2,2,0,0,2
18,74,6,0,2,65,False,True,True,1,1,2,2,1,0
10,85,8,2,3,67,True,True,True,2,1,0,2,1,2
19,96,7,0,3,69,False,True,True,1,1,2,0,1,0
14,80,7,2,2,66,True,True,False,2,0,2,0,2,0
13,93,8,1,2,69,True,True,False,1,2,1,1,1,0
21,76,6,2,3,67,True,True,False,1,1,1,1,1,0
28,64,9,1,2,64,True,True,True,1,1,1,0,0,1
26,62,8,2,2,67,False,True,True,2,2,1,1,1,1
11,62,7,3,3,61,True,False,True,0,2,2,0,2,0
14,75,8,0,2,61,True,True,True,1,0,0,2,1,0
26,73,9,4,2,68,True,True,True,1,1,2,1,1,0
14,89,6,2,5,66,False,True,True,0,2,0,0,2,2
19,90,8,0,4,66,False,True,True,1,1,0,2,1,0
23,62,10,2,4,68,False,True,True,1,2,2,0,1,1
14,69,8,1,2,63,False,True,False,0,2,2,1,2,0
21,71,7,3,3,66,True,True,False,1,1,1,1,2,2
12,82,10,0,4,66,True,True,True,2,1,2,1,1,1
16,66,7,0,3,66,True,True,False,2,1,2,2,2,1
22,65,9,2,4,65,True,True,True,1,1,2,1,1,0
10,98,6,2,2,69,True,True,True,1,1,1,2,1,1
23,92,9,1,2,71,False,True,False,1,2,2,2,1,0
20,67,6,1,2,66,False,True,True,2,2,2,1,2,1
23,76,7,1,3,66,True,True,True,1,1,2,1,1,0
21,74,6,0,4,65,True,False,False,1,2,0,0,1,0
28,92,10,4,4,71,False,True,True,0,1,1,0,1,0
21,80,7,3,2,69,False,True,False,1,2,2,1,2,0
17,65,5,2,3,61,True,True,True,0,0,1,0,1,0
21,90,7,1,4,70,True,True,True,2,1,2,0,2,0
23,76,8,2,4,70,False,True,True,1,1,2,2,1,1
20,71,7,0,4,65,False,True,True,1,1,2,2,2,0
20,75,6,2,1,64,True,True,True,1,0,1,1,1,2
16,80,9,0,4,68,True,True,True,2,2,0,2,1,2
16,74,9,1,2,63,True,True,False,0,1,0,0,1,0
12,70,5,2,3,63,False,True,False,1,2,1,0,1,1
30,76,6,3,3,71,True,True,True,1,1,0,2,1,1
13,61,7,1,2,58,False,False,True,2,0,0,1,1,0
16,91,6,1,2,68,True,True,True,1,1,1,1,1,0
16,67,8,1,4,65,False,True,True,1,2,2,2,0,0
25,62,10,2,3,65,False,True,True,1,1,0,0,1,1
18,86,6,2,2,68,True,True,True,2,0,0,1,2,0
27,91,9,0,1,69,True,True,True,0,2,1,0,0,0
16,93,5,5,1,71,True,True,True,1,1,0,2,1,0
22,80,8,2,2,65,False,True,False,0,1,0,0,0,2
15,68,6,0,5,64,True,True,True,0,1,0,1,2,2
33,89,8,2,4,75,False,True,False,0,1,1,2,2,1
13,88,4,1,4,67,False,True,True,2,1,0,0,2,0
22,70,5,1,3,68,True,True,True,1,2,2,1,2,1
24,96,8,1,1,72,False,True,True,2,2,0,1,1,1
22,64,6,3,4,67,False,True,True,1,1,2,1,1,2
19,99,7,1,3,72,False,True,True,2,1,1,2,1,0
19,94,10,1,3,69,True,True,True,1,0,2,0,2,2
20,88,7,0,3,68,False,True,True,0,0,0,2,2,2
19,98,8,0,6,70,True,True,False,1,1,1,1,1,0
26,89,6,1,3,69,False,True,True,1,1,2,0,1,1
33,68,5,2,1,67,True,True,True,1,0,1,0,1,1
17,78,7,0,3,63,False,False,True,1,1,1,0,0,1
12,63,5,4,2,61,False,True,False,1,2,0,0,1,0
19,76,6,1,3,66,True,True,True,1,2,1,1,1,0
35,90,7,0,4,73,True,False,False,2,1,0,0,1,0
15,75,7,0,3,67,True,True,True,1,2,2,1,2,1
30,73,8,2,2,72,True,True,True,2,1,1,2,2,0
30,84,8,1,4,69,False,True,True,2,1,0,0,1,2
17,95,5,2,4,69,False,True,True,0,2,1,1,1,0
23,62,6,1,3,63,True,True,True,0,2,1,0,1,1
30,75,4,0,4,67,True,True,True,1,1,0,1,1,0
18,66,6,0,2,63,False,True,True,1,1,1,2,1,0
19,88,8,1,4,66,True,False,False,1,2,0,1,0,1
17,64,9,2,4,62,False,True,True,1,1,1,0,2,0
14,87,7,2,4,68,True,True,False,1,1,1,0,2,2
16,71,9,1,4,65,False,True,True,1,2,1,0,1,2
13,68,8,0,4,59,True,True,True,0,0,1,1,0,1
20,97,7,1,1,72,True,True,True,2,1,2,1,1,1
15,61,6,0,2,63,True,True,False,1,2,1,2,2,2
21,78,4,1,4,68,False,True,True,1,1,1,1,2,2
11,61,9,0,2,61,True,True,True,1,1,2,1,2,0
22,79,7,1,3,65,False,True,False,0,1,0,0,2,0
25,80,9,2,3,68,True,True,True,1,1,0,0,2,0
8,73,6,1,4,61,True,True,True,0,1,2,0,1,1
22,65,10,1,3,63,True,True,False,0,0,1,0,1,2
27,75,7,1,2,67,True,True,True,1,1,2,1,0,2
13,87,6,0,3,66,True,True,True,0,1,0,2,2,2
30,91,7,3,2,75,True,True,False,1,1,2,1,1,2
23,81,7,0,4,68,False,True,True,1,1,0,1,1,0
16,84,7,2,3,65,False,True,True,0,1,2,1,1,0
20,68,6,0,4,64,False,True,True,0,1,2,0,2,0
23,71,4,2,3,67,True,False,True,2,1,1,0,1,0
20,66,6,2,3,64,True,True,False,0,1,1,0,1,1
23,70,9,0,2,67,True,True,True,1,2,1,0,2,2
14,69,6,2,0,63,True,False,False,1,2,0,0,1,0
21,81,4,0,2,67,True,True,False,2,1,1,1,1,1
12,83,5,1,2,65,True,True,False,2,0,1,2,1,2
19,98,7,1,2,70,True,True,True,2,0,2,0,2,0
15,68,6,2,3,62,True,True,True,1,1,2,2,0,0
16,86,7,2,3,69,True,True,True,2,1,1,0,2,0
27,93,6,2,3,70,True,True,True,1,0,1,1,1,1
27,82,9,1,2,68,True,True,False,1,1,0,0,2,0
24,70,8,4,4,68,False,True,True,1,2,1,0,2,2
13,71,10,0,3,64,True,True,True,1,1,1,0,1,2
18,62,6,4,1,63,True,False,False,0,2,2,0,1,0
27,72,7,2,2,68,True,True,True,0,0,1,2,2,2
21,90,9,1,2,67,True,True,True,2,0,0,0,0,0
34,62,8,3,4,68,False,True,False,2,0,0,0,1,1
22,69,6,1,2,66,True,True,True,1,2,1,0,1,1
21,88,8,2,1,67,True,False,False,1,1,0,1,1,2
18,91,8,1,4,69,False,True,True,2,1,2,1,1,0
21,78,4,2,3,68,True,True,False,2,1,1,2,1,0
19,88,6,4,3,70,False,True,True,1,2,1,1,1,1
24,76,7,3,4,68,False,True,False,1,1,1,1,1,2
26,66,9,2,2,66,True,True,True,0,1,1,0,1,1
15,76,8,2,4,67,True,True,False,1,2,1,0,1,2
12,83,6,1,4,65,False,True,True,1,1,1,2,0,0
9,98,6,0,5,67,False,True,True,1,1,1,1,1,0
23,63,8,2,4,63,False,True,True,1,1,2,1,0,0
13,80,4,2,2,64,True,True,True,0,2,2,0,1,0
7,73,6,3,3,64,True,True,True,2,1,1,0,1,1
22,80,9,0,3,66,False,True,False,0,0,2,1,1,1
35,61,7,2,4,68,True,True,False,1,2,0,1,1,0
20,73,6,0,3,67,True,True,True,2,1,2,1,1,0
25,93,5,1,2,72,False,True,True,1,2,0,1,1,1
20,82,8,1,4,67,True,True,True,1,1,0,0,1,0
19,78,7,2,3,66,False,True,True,1,1,2,1,0,1
26,71,7,1,3,66,False,True,True,2,0,1,0,1,1
18,72,8,1,4,67,True,True,True,2,2,1,1,1,0
22,75,7,0,3,65,False,True,False,1,1,0,0,1,2
22,93,7,2,3,70,False,True,True,2,1,0,1,2,1
16,99,5,0,4,69,True,True,False,0,1,0,0,2,2
26,78,5,1,3,69,True,True,False,2,2,0,2,2,0
19,76,8,1,4,66,True,True,True,2,1,1,1,1,1
15,94,8,2,4,66,False,True,True,1,0,1,1,1,0
23,77,8,1,3,67,True,True,True,2,2,1,0,1,1
15,82,6,1,3,67,True,True,True,1,2,1,1,0,0
20,69,8,2,4,67,True,True,True,1,1,2,1,1,0
20,90,6,2,3,72,True,True,True,2,2,1,2,2,0
27,81,9,1,4,68,True,True,True,1,0,0,1,2,1
23,92,6,3,2,70,True,True,True,1,0,2,1,1,2
20,91,6,1,4,69,True,True,True,1,1,1,0,1,0
25,69,7,1,4,65,True,True,True,2,0,2,0,1,0
28,89,8,0,3,72,False,True,True,2,2,1,1,1,2
23,92,7,0,4,69,False,True,True,1,2,1,0,1,1
20,74,7,5,4,68,True,True,True,1,1,0,2,1,0
12,67,6,1,2,62,False,True,True,2,2,2,0,1,0
14,60,7,2,3,60,True,True,True,1,0,0,1,1,0
18,78,7,3,4,67,True,True,True,2,1,0,1,1,0
16,74,6,2,4,67,True,True,True,2,2,0,1,1,1
19,82,7,1,3,67,True,True,True,1,2,1,1,1,0
20,68,7,0,4,63,True,True,False,1,1,0,0,1,0
23,94,10,1,3,71,True,True,True,1,0,2,1,1,0
20,70,6,0,2,66,True,True,False,1,1,2,1,1,1
23,69,6,0,1,65,True,True,True,1,1,2,1,1,2
20,79,7,2,2,69,True,True,True,2,1,2,1,1,0
8,80,6,2,1,63,False,True,True,2,0,2,1,1,0
14,69,5,3,2,64,True,True,True,1,1,2,0,0,2
19,71,5,2,0,67,False,True,False,2,2,2,0,1,1
13,67,6,1,2,62,True,True,True,1,1,2,0,2,0
24,89,6,2,2,68,True,True,True,1,0,0,1,1,0
29,91,5,2,3,71,False,True,True,1,2,0,0,1,2
27,78,7,1,3,66,False,False,True,2,1,1,0,1,0
19,89,4,1,1,69,True,True,True,1,2,0,0,1,2
29,89,8,1,4,71,True,True,False,1,0,0,1,2,0
21,66,6,2,4,66,True,True,False,1,1,1,1,2,0
18,99,6,5,3,72,False,True,True,1,1,1,0,1,2
16,93,8,1,4,70,True,True,True,1,1,1,2,2,1
18,68,8,1,3,65,False,True,False,0,1,2,0,2,2
18,67,6,0,2,64,False,True,True,2,1,1,1,2,1
21,65,8,1,2,63,True,True,True,1,1,1,0,1,1
21,66,9,3,2,63,False,False,False,1,1,0,1,1,0
20,90,5,3,2,66,False,False,True,0,1,1,1,1,0
23,79,8,1,4,68,True,True,True,2,2,0,0,2,1
27,91,5,1,4,74,True,True,True,1,2,0,2,2,1
26,90,9,0,2,71,False,True,False,2,2,0,2,0,1
11,84,6,3,3,67,True,True,True,2,1,2,0,2,0
5,87,6,2,3,66,False,True,True,2,0,1,1,2,2
26,61,9,0,6,67,True,True,False,2,1,1,1,1,1
12,72,8,3,1,62,True,True,True,0,2,2,0,1,0
19,86,6,1,5,68,False,True,False,1,0,0,2,2,2
13,60,7,2,3,62,True,True,True,1,1,1,0,1,2
9,61,6,1,2,82,True,False,False,2,1,0,2,1,0
23,94,5,2,2,70,False,True,True,2,1,2,1,1,0
25,87,7,4,2,72,False,True,False,2,1,1,1,0,1
17,71,6,0,4,64,True,True,True,0,2,0,1,1,1
4,88,6,1,4,66,False,True,True,1,2,0,1,2,1
17,92,9,0,3,68,True,True,False,1,1,2,1,0,1
22,72,6,1,3,64,False,True,True,0,1,0,2,1,2
11,61,7,0,3,61,True,True,True,0,1,2,1,2,0
21,97,9,0,1,69,True,True,True,1,1,1,1,1,0
20,74,7,2,2,68,False,True,False,2,2,0,2,2,1
23,64,6,1,5,64,False,True,True,1,1,1,1,1,1
21,80,7,1,4,67,False,True,False,1,2,1,0,2,0
14,91,8,0,3,67,True,True,True,1,1,1,1,1,0
27,69,8,1,2,65,False,True,True,1,1,1,2,1,0
19,71,10,2,3,68,True,True,True,2,1,1,1,2,0
20,70,6,2,3,67,True,True,True,1,2,1,1,0,0
14,100,7,1,3,67,False,True,True,0,1,0,0,1,2
17,68,5,1,4,64,True,True,True,1,2,1,2,1,0
15,83,8,0,3,70,True,True,True,2,2,1,1,1,1
19,97,7,2,3,69,False,True,False,1,2,1,0,0,1
30,66,7,0,2,66,False,True,False,1,2,0,2,2,0
12,99,6,2,3,69,False,True,True,0,1,1,1,1,2
10,98,6,1,2,66,True,True,False,0,1,1,0,2,0
29,95,7,1,3,73,True,True,True,2,1,0,0,1,0
19,69,6,4,4,66,True,False,False,1,1,1,2,2,2
16,85,7,0,2,69,True,True,True,1,2,2,1,1,2
26,90,7,1,3,70,True,True,True,1,0,0,1,1,0
16,99,5,1,5,71,True,True,False,2,1,2,1,1,1
31,67,5,2,4,70,True,True,True,0,2,1,1,2,1
24,91,6,0,4,69,True,True,False,2,0,1,0,1,0
17,74,9,1,3,63,False,True,False,1,1,1,1,2,0
33,67,6,4,3,71,True,True,True,2,1,1,1,2,0
16,77,7,2,2,67,False,True,True,2,2,0,1,1,1
24,92,5,3,2,73,True,True,True,1,1,2,1,2,0
22,79,6,1,2,68,True,True,True,0,2,1,2,1,1
28,82,5,0,3,69,True,True,True,0,1,1,2,0,0
29,100,8,2,3,76,True,True,False,2,2,1,1,1,0
20,76,5,4,3,68,True,True,True,0,1,1,0,2,0
15,85,8,1,3,65,False,True,False,1,1,2,0,1,1
23,75,8,0,1,66,True,True,True,1,1,0,2,0,0
16,76,7,0,2,65,False,True,True,1,0,2,0,1,2
32,88,8,3,3,69,False,True,False,0,1,0,0,2,0
21,98,10,0,1,71,True,True,True,2,1,1,1,1,0
18,82,8,1,3,66,True,True,True,2,0,1,2,1,0
21,91,5,3,3,69,False,True,True,1,2,1,0,1,0
12,64,9,2,4,59,False,False,True,1,1,0,0,1,1
14,68,7,2,3,65,False,True,True,1,2,1,2,1,0
27,80,10,4,2,72,False,True,True,2,2,2,0,0,1
16,61,6,0,2,60,True,True,True,1,0,1,1,1,1
14,70,9,0,4,64,True,True,False,1,1,0,2,1,1
23,81,7,1,4,69,False,True,True,1,1,0,0,1,2
27,61,10,3,3,70,True,True,False,2,2,1,1,2,0
24,71,7,2,3,67,True,True,True,1,2,0,2,1,1
26,81,10,0,5,67,False,True,False,1,1,0,1,1,0
15,83,8,0,3,64,True,True,False,1,0,1,0,1,1
11,97,8,4,2,68,True,True,False,1,1,0,1,2,0
29,86,10,1,4,72,False,True,False,1,2,0,0,2,0
18,77,6,1,3,65,True,True,False,1,2,1,0,1,0
18,97,8,2,2,70,False,True,True,1,2,0,1,1,1
28,91,7,2,5,75,False,True,False,2,1,0,0,1,2
23,68,7,3,4,65,True,False,False,0,0,1,0,2,0
23,65,7,1,3,63,True,True,True,1,2,0,0,1,1
33,87,8,0,3,71,False,True,False,1,2,0,0,1,0
16,82,8,2,2,66,True,True,True,1,0,1,1,1,1
26,92,6,1,3,69,True,True,False,1,0,1,0,1,0
20,90,7,0,3,68,False,False,False,2,1,0,2,0,2
22,85,4,1,2,71,False,True,True,1,2,1,1,2,2
29,99,8,5,2,77,True,False,True,2,1,2,0,0,2
23,81,10,1,2,70,True,True,True,2,0,2,1,2,1
23,65,7,1,3,66,False,True,True,1,1,1,2,1,1
26,93,5,1,3,73,False,True,True,2,1,0,2,2,1
18,70,8,1,3,62,True,True,False,1,1,1,0,1,1
15,91,6,0,2,65,False,True,True,1,1,0,1,1,0
14,98,7,0,2,71,True,True,True,2,2,1,0,1,2
8,88,8,1,4,66,True,True,True,1,1,2,0,1,1
32,84,8,1,3,72,True,True,True,0,1,1,0,1,0
13,78,9,0,4,64,True,True,False,1,1,1,1,2,0
19,75,7,0,4,63,False,True,False,1,1,0,0,0,0
18,74,7,0,3,63,True,True,True,0,1,0,0,1,0
22,85,8,5,2,72,False,True,True,2,1,2,1,2,0
25,90,7,2,2,71,True,True,True,1,1,1,1,2,0
25,87,6,3,2,72,True,False,True,2,2,0,1,1,0
17,68,8,1,2,65,True,True,False,1,2,1,1,2,0
19,80,5,0,3,67,True,True,True,1,1,1,1,1,0
22,92,7,1,4,68,True,True,True,0,2,0,0,1,0
19,79,5,2,2,66,True,True,False,1,2,1,0,1,2
30,81,6,0,3,72,False,True,True,1,2,1,2,1,2
23,91,6,3,3,71,False,True,True,2,1,1,0,0,0
24,86,6,3,3,70,False,True,True,1,2,0,0,2,1
24,76,9,1,3,68,False,True,True,1,1,1,1,0,2
27,96,9,0,4,72,False,True,False,1,2,0,0,1,1
21,67,9,1,3,66,True,True,True,0,1,2,0,2,1
12,100,7,1,6,69,False,True,True,1,1,1,1,2,0
22,65,6,2,1,65,True,True,True,0,1,2,1,1,1
16,61,8,1,3,62,False,True,True,2,2,1,0,2,0
17,96,7,1,1,69,False,True,True,2,2,0,0,2,1
24,70,7,1,4,65,True,True,True,1,1,1,1,0,0
27,89,4,2,4,69,False,True,False,1,0,1,0,0,1
20,92,8,1,3,69,True,True,True,0,2,1,0,1,0
22,94,8,2,5,73,True,True,False,2,1,1,0,1,1
30,100,7,2,2,75,True,True,False,2,1,0,1,1,2
21,72,8,3,3,70,True,True,False,2,2,1,0,2,1
36,88,8,0,3,74,False,True,False,1,2,2,0,1,1
23,65,6,0,3,65,True,True,True,1,1,1,0,0,0
9,76,7,1,3,63,False,True,True,1,1,1,1,1,1
25,94,5,4,4,74,False,True,True,2,2,0,1,2,1
22,75,9,0,2,67,True,True,False,2,2,0,0,1,2
28,84,8,3,4,71,True,False,True,1,1,1,1,1,2
24,80,6,1,3,68,True,True,True,2,0,1,0,2,1
19,86,8,2,4,69,False,True,True,2,1,1,1,1,1
13,99,7,0,4,71,False,True,True,1,2,1,1,1,2
19,62,6,7,2,66,True,True,True,2,1,0,1,1,0
15,83,7,0,3,65,True,True,False,1,1,0,1,1,2
17,95,8,1,2,66,True,False,False,1,0,0,0,2,1
24,79,8,2,2,65,True,True,False,0,0,2,0,1,0
30,63,10,1,4,67,False,True,True,1,1,1,1,1,2
22,82,7,2,4,70,False,True,False,2,1,2,0,1,2
13,73,7,1,4,63,True,True,True,1,1,1,0,1,2
23,66,8,1,3,64,False,True,False,0,0,0,1,2,2
27,94,7,1,1,71,True,True,False,1,1,1,1,1,0
16,81,6,2,3,68,True,True,True,1,2,1,0,2,1
19,97,6,2,4,72,False,True,True,1,0,1,2,1,2
20,92,4,2,4,71,True,True,True,1,2,1,2,1,1
15,88,8,1,2,64,True,False,False,0,0,1,0,0,2
24,60,5,1,5,64,True,True,True,2,0,1,1,2,0
19,77,6,3,2,66,True,True,False,2,1,0,2,1,1
23,68,7,3,3,68,True,True,True,1,2,2,1,1,0
15,96,7,2,2,68,False,True,False,2,1,1,0,0,0
17,67,10,3,5,65,True,True,True,2,1,1,0,1,0
24,71,5,1,3,67,True,True,False,1,1,1,1,1,0
18,81,10,3,2,64,True,True,True,1,0,0,0,1,0
30,71,9,1,4,70,True,False,True,2,1,2,1,1,1
18,68,8,1,2,65,True,True,True,1,2,0,0,1,1
21,84,9,2,3,65,False,True,True,1,0,0,1,2,0
26,64,8,1,4,68,False,True,True,2,1,2,1,1,0
11,62,4,2,3,61,True,True,True,1,2,1,2,1,0
9,75,8,3,3,63,False,True,True,2,0,2,1,1,0
11,89,5,0,2,65,True,True,True,1,1,1,1,1,1
28,82,6,1,5,69,True,True,False,1,1,1,0,1,0
17,77,7,1,2,64,False,True,True,1,1,0,0,2,1
35,83,6,1,2,69,False,True,False,1,0,1,0,1,0
17,75,8,3,3,67,True,True,True,2,1,0,2,1,2
21,97,7,1,1,74,True,True,True,1,2,2,1,2,2
29,62,8,1,3,66,True,True,False,2,1,1,0,1,1
32,87,7,0,4,72,True,True,True,1,2,1,2,0,1
32,96,7,1,5,73,True,True,True,1,0,0,0,1,1
27,92,6,0,4,73,False,True,True,2,1,2,1,2,1
26,67,5,0,2,63,True,True,True,0,1,2,1,1,0
24,72,7,3,2,69,True,True,True,2,1,1,0,1,2
25,89,6,2,6,71,True,True,True,0,0,2,0,1,2
17,63,9,1,4,63,False,True,True,2,1,2,0,2,1
15,92,5,0,5,69,True,True,True,1,2,1,2,0,0
20,89,10,3,3,72,True,True,False,2,2,0,1,1,1
19,89,7,2,4,68,True,True,True,2,0,1,0,1,2
17,64,7,1,3,62,False,True,True,0,2,1,1,1,0
24,89,6,1,2,68,True,True,False,0,2,1,0,1,0
26,87,8,1,2,71,True,True,True,1,1,2,0,1,2
21,93,7,1,3,67,True,False,True,1,0,0,2,2,0
29,62,7,0,3,65,True,True,False,0,2,2,0,1,1
13,61,8,1,3,60,True,False,True,0,1,2,1,2,2
19,75,8,2,2,68,True,True,True,1,2,2,2,1,0
16,66,9,1,3,59,True,True,True,0,1,1,1,0,0
9,82,8,0,0,64,False,True,True,2,1,1,2,1,0
20,97,6,2,3,71,True,True,True,2,1,2,0,0,0
19,76,4,2,2,68,False,True,True,2,2,0,2,1,1
29,94,7,2,3,70,True,False,True,0,1,1,0,1,1
24,60,7,1,4,62,False,True,True,0,0,1,1,2,1
14,67,10,2,3,62,False,True,True,1,1,1,2,1,1
31,61,7,2,3,68,False,True,False,2,1,1,1,1,0
27,73,8,3,3,68,False,True,False,1,1,0,1,1,0
23,96,8,3,4,74,True,True,True,1,1,2,0,0,0
19,64,8,0,4,61,False,True,True,0,1,1,2,1,1
14,84,8,1,5,67,True,True,True,1,1,1,0,2,1
18,78,6,1,2,65,False,True,True,1,0,1,2,2,0
27,98,6,5,3,101,True,False,True,0,1,0,2,2,0
31,65,7,1,4,65,True,True,True,1,0,1,0,1,0
29,68,4,0,4,67,False,True,False,1,1,1,1,1,1
17,61,7,2,3,61,True,True,True,1,2,0,0,1,0
13,77,6,3,4,64,False,True,True,1,1,1,1,2,0
21,71,7,1,3,64,False,True,True,2,0,2,1,2,1
9,95,7,1,2,67,True,True,True,1,1,1,0,0,1
22,84,5,0,3,69,True,True,False,1,1,1,2,2,1
19,85,9,1,2,69,True,True,True,2,1,0,1,2,2
17,81,7,4,3,67,False,True,True,2,1,1,0,1,0
10,64,8,1,3,62,False,True,True,1,2,1,1,1,0
23,78,7,0,1,66,False,True,False,0,2,1,0,1,0
17,100,8,0,4,72,False,True,True,2,1,0,1,2,1
13,93,5,2,3,67,True,True,True,1,1,0,1,1,1
3,96,9,2,3,66,True,True,True,2,2,1,0,1,1
20,93,8,2,4,67,True,True,True,0,0,1,0,1,0
31,64,7,1,4,67,True,True,True,2,0,0,1,1,0
30,69,7,0,4,68,True,True,True,1,1,1,1,0,2
17,60,9,0,2,63,True,True,True,2,1,1,0,2,0
16,72,6,1,2,62,False,True,True,1,2,0,1,1,0
23,64,5,3,2,65,True,True,True,2,1,0,1,2,1
14,79,6,1,6,65,True,True,True,1,1,1,0,1,1
22,87,7,0,2,70,True,True,True,1,2,1,1,2,1
25,95,7,7,4,73,False,True,True,0,1,1,0,1,0
27,90,9,1,2,73,True,True,True,2,1,1,1,2,2
19,98,6,2,2,68,True,False,False,1,0,1,0,1,0
19,62,6,3,1,63,False,True,True,1,0,2,1,1,0
15,60,5,2,2,62,True,True,True,1,0,2,2,2,0
15,86,8,0,3,69,True,True,True,2,1,1,1,1,2
19,72,5,2,3,66,False,True,True,1,2,1,1,1,2
22,70,8,0,3,68,True,True,False,1,2,2,1,1,2
25,73,6,0,3,67,True,True,False,2,1,0,0,1,1
15,71,6,2,4,65,True,True,False,2,2,0,0,2,1
29,80,10,1,3,70,True,False,True,0,1,2,2,1,1
18,78,9,0,1,64,True,False,False,0,1,2,2,2,0
20,80,7,2,3,65,True,True,False,0,0,2,1,2,0
16,87,5,1,2,67,False,True,False,1,1,2,0,2,2
5,75,10,0,4,62,True,True,False,1,0,1,2,1,2
25,70,7,3,4,66,True,True,True,1,1,2,0,1,0
24,67,7,0,2,68,True,True,True,2,2,0,2,1,1
18,74,8,0,4,64,False,True,True,1,0,2,1,2,1
20,90,4,3,3,69,False,True,True,2,0,1,0,1,0
23,90,6,1,2,69,True,False,False,1,1,0,2,1,0
11,87,7,1,5,67,True,True,True,1,1,1,1,1,0
17,69,7,0,3,61,True,True,True,1,1,0,0,2,1
25,84,5,1,4,70,True,True,True,2,1,0,1,1,2
12,83,7,1,4,65,True,True,True,0,1,0,2,1,1
22,79,7,0,4,66,True,True,True,1,1,0,0,1,1
12,82,10,3,3,66,True,True,True,0,1,1,0,1,2
23,80,9,4,3,69,True,True,True,1,2,1,1,1,0
20,83,7,1,1,67,True,True,True,1,1,2,1,1,0
10,89,7,2,2,71,True,True,False,2,2,1,2,1,2
27,64,9,1,4,68,True,True,False,2,2,2,0,2,0
16,90,7,2,3,67,False,False,True,1,1,2,1,1,0
15,65,5,2,4,63,False,True,True,2,1,0,0,1,0
21,63,10,1,2,64,False,True,False,1,1,0,2,2,1
27,99,6,3,3,73,True,True,True,2,1,1,0,1,1
14,98,10,1,3,69,True,True,False,1,1,2,0,1,0
20,62,8,1,3,65,False,True,True,2,0,2,1,1,0
23,78,6,0,5,70,True,True,False,2,0,1,1,2,2
24,67,4,1,2,67,True,True,True,2,1,0,0,2,0
21,79,8,3,3,67,True,True,True,1,0,2,0,1,2
18,93,5,0,3,70,True,True,True,1,2,1,0,1,0
15,98,8,2,2,69,False,False,True,2,0,0,2,2,2
21,85,10,2,2,68,False,True,True,2,1,2,1,1,0
14,74,5,1,3,66,False,True,True,1,2,2,0,2,1
2,84,8,3,4,62,False,True,True,0,2,0,0,0,0
23,72,6,2,4,67,True,True,True,1,1,0,2,1,0
25,96,9,2,4,71,True,True,True,1,0,2,1,2,0
6,95,7,4,2,68,True,True,True,2,1,1,0,1,0
14,82,7,3,2,66,True,True,True,2,1,2,0,1,0
24,73,9,0,3,64,True,True,True,0,1,2,0,1,0
32,72,8,1,4,71,True,True,False,2,1,0,0,1,2
20,61,6,1,4,61,True,True,True,0,0,1,1,2,1
16,93,10,2,2,67,False,False,True,1,2,1,0,1,1
19,78,5,3,4,65,True,True,True,1,0,0,2,1,1
28,73,7,0,6,66,True,False,False,2,1,0,0,1,1
16,79,6,2,4,68,True,True,True,2,2,1,0,2,0
15,93,5,0,2,66,False,True,True,1,1,1,0,1,1
17,65,5,2,4,63,False,True,True,1,1,1,1,1,0
14,94,7,1,3,66,True,True,True,0,0,0,2,1,0
21,96,8,1,2,73,False,True,False,1,2,1,2,1,1
30,98,9,1,3,88,True,True,False,1,0,1,0,0,0
22,76,9,0,4,67,False,True,False,1,1,2,1,2,0
18,69,7,2,2,69,True,True,True,2,2,1,1,1,1
18,75,6,2,3,67,True,True,True,1,0,2,0,1,0
11,73,9,1,2,64,True,True,True,1,2,1,0,2,0
25,67,6,0,2,64,True,False,True,1,2,1,0,1,0
20,84,5,1,2,65,False,True,True,0,1,0,0,1,0
